table,field,required,type,description,schema
OBSERVATION,value_as_source_concept_id,No,INTEGER,"This is the concept representing the VALUE_SOURCE_VALUE and may not necessarily be standard. This field is discouraged from use in analysis because it is not required to contain Standard Concepts that are used across the OHDSI community, and should only be used when Standard Concepts do not adequately represent the source detail for the Observation necessary for a given analytic use case. Consider using VALUE_AS_CONCEPT_ID instead to enable standardized analytics that can be consistent across the network.",cdm
OBSERVATION,observation_event_id,No,INTEGER,"If the Observation record is related to another record in the database, this field is the primary key of the linked record.",cdm
OBSERVATION,obs_event_field_concept_id,No,INTEGER,"If the Observation record is related to another record in the database, this field is the CONCEPT_ID that identifies which table the primary key of the linked record came from.",cdm
DEATH,person_id,Yes,INTEGER,,cdm
DEATH,death_date,Yes,DATE,The date the person was deceased.,cdm
DEATH,death_datetime,No,DATETIME,,cdm
DEATH,death_type_concept_id,No,INTEGER,"This is the provenance of the death record, i.e., where it came from. It is possible that an administrative claims database would source death information from a government file so do not assume the Death Type is the same as the Visit Type, etc.",cdm
DEATH,cause_concept_id,No,INTEGER,"This is the Standard Concept representing the Person's cause of death, if available.",cdm
DEATH,cause_source_value,No,VARCHAR(50),,cdm
DEATH,cause_source_concept_id,No,INTEGER,,cdm
NOTE,note_id,Yes,INTEGER,A unique identifier for each note.,cdm
NOTE,person_id,Yes,INTEGER,,cdm
NOTE,note_date,Yes,DATE,The date the note was recorded.,cdm
NOTE,note_datetime,No,DATETIME,,cdm
NOTE,note_type_concept_id,Yes,INTEGER,The provenance of the note. Most likely this will be EHR.,cdm
NOTE,note_class_concept_id,Yes,INTEGER,"A Standard Concept Id representing the HL7 LOINC
Document Type Vocabulary classification of the note.",cdm
NOTE,note_title,No,VARCHAR(250),The title of the note.,cdm
NOTE,note_text,Yes,VARCHAR(MAX),The content of the note.,cdm
NOTE,encoding_concept_id,Yes,INTEGER,This is the Concept representing the character encoding type.,cdm
NOTE,language_concept_id,Yes,INTEGER,The language of the note.,cdm
NOTE,provider_id,No,INTEGER,The Provider who wrote the note.,cdm
NOTE,visit_occurrence_id,No,INTEGER,The Visit during which the note was written.,cdm
NOTE,visit_detail_id,No,INTEGER,The Visit Detail during which the note was written.,cdm
NOTE,note_source_value,No,VARCHAR(50),,cdm
NOTE,note_event_id,No,INTEGER,"If the Note record is related to another record in the database, this field is the primary key of the linked record.",cdm
NOTE,note_event_field_concept_id,No,INTEGER,"If the Note record is related to another record in the database, this field is the CONCEPT_ID that identifies which table the primary key of the linked record came from.",cdm
NOTE_NLP,note_nlp_id,Yes,INTEGER,A unique identifier for the NLP record.,cdm
NOTE_NLP,note_id,Yes,INTEGER,This is the NOTE_ID for the NOTE record the NLP record is associated to.,cdm
NOTE_NLP,section_concept_id,No,INTEGER,,cdm
NOTE_NLP,snippet,No,VARCHAR(250),A small window of text surrounding the term,cdm
NOTE_NLP,"""offset""",No,VARCHAR(50),Character offset of the extracted term in the input note,cdm
NOTE_NLP,lexical_variant,Yes,VARCHAR(250),Raw text extracted from the NLP tool.,cdm
NOTE_NLP,note_nlp_concept_id,No,INTEGER,,cdm
NOTE_NLP,note_nlp_source_concept_id,No,INTEGER,,cdm
NOTE_NLP,nlp_system,No,VARCHAR(250),,cdm
NOTE_NLP,nlp_date,Yes,DATE,The date of the note processing.,cdm
NOTE_NLP,nlp_datetime,No,DATETIME,The date and time of the note processing.,cdm
NOTE_NLP,term_exists,No,VARCHAR(1),,cdm
NOTE_NLP,term_temporal,No,VARCHAR(50),,cdm
NOTE_NLP,term_modifiers,No,VARCHAR(2000),,cdm
SPECIMEN,specimen_id,Yes,INTEGER,Unique identifier for each specimen.,cdm
SPECIMEN,person_id,Yes,INTEGER,The person from whom the specimen is collected.,cdm
SPECIMEN,specimen_concept_id,Yes,INTEGER,,cdm
SPECIMEN,specimen_type_concept_id,Yes,INTEGER,,cdm
SPECIMEN,specimen_date,Yes,DATE,The date the specimen was collected.,cdm
SPECIMEN,specimen_datetime,No,DATETIME,,cdm
SPECIMEN,quantity,No,FLOAT,The amount of specimen collected from the person.,cdm
SPECIMEN,unit_concept_id,No,INTEGER,The unit for the quantity of the specimen.,cdm
SPECIMEN,anatomic_site_concept_id,No,INTEGER,This is the site on the body where the specimen is from.,cdm
SPECIMEN,disease_status_concept_id,No,INTEGER,,cdm
SPECIMEN,specimen_source_id,No,VARCHAR(50),This is the identifier for the specimen from the source system.,cdm
SPECIMEN,specimen_source_value,No,VARCHAR(50),,cdm
SPECIMEN,unit_source_value,No,VARCHAR(50),,cdm
SPECIMEN,anatomic_site_source_value,No,VARCHAR(50),,cdm
SPECIMEN,disease_status_source_value,No,VARCHAR(50),,cdm
SPECIMEN,visit_occurrence_id,No,INTEGER,The visit during which the specimen was collected.,cdm
SPECIMEN,visit_detail_id,No,INTEGER,"The VISIT_DETAIL record during which the specimen was collected. For example, if the person was in the ICU at the time of the collection the VISIT_OCCURRENCE record would reflect the overall hospital stay and the VISIT_DETAIL record would reflect the ICU stay during the hospital visit.",cdm
FACT_RELATIONSHIP,domain_concept_id_1,Yes,INTEGER,,cdm
FACT_RELATIONSHIP,fact_id_1,Yes,INTEGER,,cdm
FACT_RELATIONSHIP,domain_concept_id_2,Yes,INTEGER,,cdm
FACT_RELATIONSHIP,fact_id_2,Yes,INTEGER,,cdm
FACT_RELATIONSHIP,relationship_concept_id,Yes,INTEGER,,cdm
LOCATION,location_id,Yes,INTEGER,The unique key given to a unique Location.,cdm
LOCATION,address_1,No,VARCHAR(50),This is the first line of the address.,cdm
LOCATION,address_2,No,VARCHAR(50),This is the second line of the address,cdm
LOCATION,city,No,VARCHAR(50),,cdm
LOCATION,state,No,VARCHAR(2),,cdm
LOCATION,zip,No,VARCHAR(9),,cdm
LOCATION,county,No,VARCHAR(20),,cdm
LOCATION,location_source_value,No,VARCHAR(50),,cdm
LOCATION,country_concept_id,No,INTEGER,The Concept Id representing the country. Values should conform to the [Geography](https://athena.ohdsi.org/search-terms/terms?domain=Geography&standardConcept=Standard&vocabulary=OSM&vocabulary=SNOMED&conceptClass=2nd+level&conceptClass=Location&page=1&pageSize=500&query=) domain.,cdm
LOCATION,country_source_value,No,VARCHAR(80),The name of the country.,cdm
LOCATION,latitude,No,FLOAT,,cdm
LOCATION,longitude,No,FLOAT,,cdm
CARE_SITE,care_site_id,Yes,INTEGER,,cdm
CARE_SITE,care_site_name,No,VARCHAR(255),The name of the care_site as it appears in the source data,cdm
CARE_SITE,place_of_service_concept_id,No,INTEGER,"This is a high-level way of characterizing a Care Site. Typically, however, Care Sites can provide care in multiple settings (inpatient, outpatient, etc.) and this granularity should be reflected in the visit.",cdm
CARE_SITE,location_id,No,INTEGER,The location_id from the LOCATION table representing the physical location of the care_site.,cdm
CARE_SITE,care_site_source_value,No,VARCHAR(50),The identifier of the care_site as it appears in the source data. This could be an identifier separate from the name of the care_site.,cdm
CARE_SITE,place_of_service_source_value,No,VARCHAR(50),,cdm
PROVIDER,provider_id,Yes,INTEGER,It is assumed that every provider with a different unique identifier is in fact a different person and should be treated independently.,cdm
PROVIDER,provider_name,No,VARCHAR(255),This field contains information that describes a healthcare provider.,cdm
PROVIDER,npi,No,VARCHAR(20),This is the National Provider Number issued to health care providers in the US by the Centers for Medicare and Medicaid Services (CMS).,cdm
PROVIDER,dea,No,VARCHAR(20),"This is the identifier issued by the DEA, a US federal agency, that allows a provider to write prescriptions for controlled substances.",cdm
PROVIDER,specialty_concept_id,No,INTEGER,"This field either represents the most common specialty that occurs in the data or the most specific concept that represents all specialties listed, should the provider have more than one. This includes physician specialties such as internal medicine, emergency medicine, etc. and allied health professionals such as nurses, midwives, and pharmacists.",cdm
PROVIDER,care_site_id,No,INTEGER,This is the CARE_SITE_ID for the location that the provider primarily practices in.,cdm
PROVIDER,year_of_birth,No,INTEGER,,cdm
PROVIDER,gender_concept_id,No,INTEGER,This field represents the recorded gender of the provider in the source data.,cdm
PROVIDER,provider_source_value,No,VARCHAR(50),Use this field to link back to providers in the source data. This is typically used for error checking of ETL logic.,cdm
PROVIDER,specialty_source_value,No,VARCHAR(50),"This refers to the specific type of healthcare provider or field of expertise listed in the source data, encompassing physician specialties like internal medicine, emergency medicine, etc., as well as allied health professionals such as nurses, midwives, and pharmacists. It covers medical specialties like surgery, internal medicine, and radiology, while other services like prosthetics, acupuncture, and physical therapy fall under the domain of ""Service.",cdm
PROVIDER,specialty_source_concept_id,No,INTEGER,This is often zero as many sites use proprietary codes to store physician speciality.,cdm
PROVIDER,gender_source_value,No,VARCHAR(50),This is provider's gender as it appears in the source data.,cdm
PROVIDER,gender_source_concept_id,No,INTEGER,This is often zero as many sites use proprietary codes to store provider gender.,cdm
PAYER_PLAN_PERIOD,payer_plan_period_id,Yes,INTEGER,"A unique identifier for each unique combination of a Person, Payer, Plan, and Period of time.",cdm
PAYER_PLAN_PERIOD,person_id,Yes,INTEGER,The Person covered by the Plan.,cdm
PAYER_PLAN_PERIOD,payer_plan_period_start_date,Yes,DATE,Start date of Plan coverage.,cdm
PAYER_PLAN_PERIOD,payer_plan_period_end_date,Yes,DATE,End date of Plan coverage.,cdm
PAYER_PLAN_PERIOD,payer_concept_id,No,INTEGER,This field represents the organization who reimburses the provider which administers care to the Person.,cdm
PAYER_PLAN_PERIOD,payer_source_value,No,VARCHAR(50),This is the Payer as it appears in the source data.,cdm
PAYER_PLAN_PERIOD,payer_source_concept_id,No,INTEGER,,cdm
PAYER_PLAN_PERIOD,plan_concept_id,No,INTEGER,This field represents the specific health benefit Plan the Person is enrolled in.,cdm
PAYER_PLAN_PERIOD,plan_source_value,No,VARCHAR(50),This is the health benefit Plan of the Person as it appears in the source data.,cdm
PAYER_PLAN_PERIOD,plan_source_concept_id,No,INTEGER,,cdm
PAYER_PLAN_PERIOD,sponsor_concept_id,No,INTEGER,"This field represents the sponsor of the Plan who finances the Plan. This includes self-insured, small group health plan and large group health plan.",cdm
PAYER_PLAN_PERIOD,sponsor_source_value,No,VARCHAR(50),The Plan sponsor as it appears in the source data.,cdm
PAYER_PLAN_PERIOD,sponsor_source_concept_id,No,INTEGER,,cdm
PAYER_PLAN_PERIOD,family_source_value,No,VARCHAR(50),The common identifier for all people (often a family) that covered by the same policy.,cdm
PAYER_PLAN_PERIOD,stop_reason_concept_id,No,INTEGER,"This field represents the reason the Person left the Plan, if known.",cdm
PAYER_PLAN_PERIOD,stop_reason_source_value,No,VARCHAR(50),The Plan stop reason as it appears in the source data.,cdm
PAYER_PLAN_PERIOD,stop_reason_source_concept_id,No,INTEGER,,cdm
COST,cost_id,Yes,INTEGER,,cdm
COST,cost_event_id,Yes,INTEGER,,cdm
COST,cost_domain_id,Yes,VARCHAR(20),,cdm
COST,cost_type_concept_id,Yes,INTEGER,"The concept referenced in this field defines the source of the cost information, and therefore the perspective. It could be from the perspective of the payer, or the perspective of the provider. Therefore, cost really means either cost or revenue, and the direction of funds (incoming and outgoing) as well as the modus of its calculation is defined by this field.",cdm
COST,currency_concept_id,No,INTEGER,,cdm
COST,total_charge,No,FLOAT,,cdm
COST,total_cost,No,FLOAT,"The cost of the goods or services the provider provides is often not known directly, but derived from the hospital charges multiplied by an average cost-to-charge ratio. This data is currently available for NIS datasets, or any other HCUP datasets.",cdm
COST,total_paid,No,FLOAT,"This field is calculated using the following formula: paid_by_payer + paid_by_patient + paid_by_primary. In claims data, this field is considered the calculated field the payer expects the provider to get reimbursed for goods and services, based on the payer's contractual obligations.",cdm
COST,paid_by_payer,No,FLOAT,"In claims data, generally there is one field representing the total payment from the payer for the service/device/drug. However, this field could be a calculated field if the source data provides separate payment information for the ingredient cost and the dispensing fee in case of prescription benefits. If there is more than one Payer in the source data, several cost records indicate that fact. The Payer reporting this reimbursement should be indicated under the payer_plan_id field.",cdm
COST,paid_by_patient,No,FLOAT,This field is most often used in claims data to report the contracted amount the patient is responsible for reimbursing the provider for the goods and services she received. This is a calculated field using the following formula: paid_patient_copay + paid_patient_coinsurance + paid_patient_deductible.,cdm
COST,paid_patient_copay,No,FLOAT,The paid_patient_copay field is only used for reporting a patient's copay amount reported on an insurance claim. This field contributes to the paid_by_patient variable.,cdm
COST,paid_patient_coinsurance,No,FLOAT,The paid_patient_coinsurance field is only used for reporting a patient's coinsurance amount reported on an insurance claim. This field contributes to the paid_by_patient variable.,cdm
COST,paid_patient_deductible,No,FLOAT,The paid_patient_deductible field is only used for reporting a patient's deductible amount reported on an insurance claim. This field contributes to the paid_by_patient variable.,cdm
COST,paid_by_primary,No,FLOAT,"The paid_by_primary field is only used for reporting a patient's primary insurance payment amount reported on the secondary payer insurance claim. If the source data has actual primary insurance payments, then the primary insurance payment should have its own cost record with a payer_plan_id set to the applicable payer.",cdm
COST,paid_ingredient_cost,No,FLOAT,,cdm
COST,paid_dispensing_fee,No,FLOAT,,cdm
COST,payer_plan_period_id,No,INTEGER,,cdm
COST,amount_allowed,No,FLOAT,"This information is generally available in claims data. This is similar to the total_paid amount in that it shows what the payer expects the provider to be reimbursed after the payer and patient pay. This differs from the total_paid amount in that it is not a calculated field, but a field available directly in claims data. The field is payer-specific and the payer should be indicated by the payer_plan_id field.",cdm
COST,revenue_code_concept_id,No,INTEGER,Revenue codes are a method to charge for a class of procedures and conditions in the U.S. hospital system.,cdm
COST,revenue_code_source_value,No,VARCHAR(50),Revenue codes are a method to charge for a class of procedures and conditions in the U.S. hospital system.,cdm
COST,drg_concept_id,No,INTEGER,DRG is a system to classify hospital cases into one of approximately 500 groups for reimbursement purposes. They have been used in the United States since 1983.,cdm
COST,drg_source_value,No,VARCHAR(3),Diagnosis Related Groups are US codes used to classify hospital cases into one of approximately 500 groups.,cdm
DRUG_ERA,drug_era_id,Yes,INTEGER,,cdm
DRUG_ERA,person_id,Yes,INTEGER,,cdm
DRUG_ERA,drug_concept_id,Yes,INTEGER,The drug_concept_id should conform to the concept class 'ingredient' as the drug_era is an era of time where a person is exposed to a particular drug ingredient.,cdm
DRUG_ERA,drug_era_start_date,Yes,DATE,,cdm
DRUG_ERA,drug_era_end_date,Yes,DATE,,cdm
DRUG_ERA,drug_exposure_count,No,INTEGER,The count of grouped DRUG_EXPOSURE records that were included in the DRUG_ERA row,cdm
DRUG_ERA,gap_days,No,INTEGER,,cdm
DOSE_ERA,dose_era_id,Yes,INTEGER,,cdm
DOSE_ERA,person_id,Yes,INTEGER,,cdm
DOSE_ERA,drug_concept_id,Yes,INTEGER,The Concept Id representing the specific drug ingredient.,cdm
DOSE_ERA,unit_concept_id,Yes,INTEGER,The Concept Id representing the unit of the specific drug ingredient.,cdm
DOSE_ERA,dose_value,Yes,FLOAT,The numeric value of the dosage of the drug_ingredient.,cdm
DOSE_ERA,dose_era_start_date,Yes,DATE,"The date the Person started on the specific dosage, with at least 31 days since any prior exposure.",cdm
DOSE_ERA,dose_era_end_date,Yes,DATE,,cdm
CONDITION_ERA,condition_era_id,Yes,INTEGER,,cdm
CONDITION_ERA,person_id,Yes,INTEGER,,cdm
CONDITION_ERA,condition_concept_id,Yes,INTEGER,The Concept Id representing the Condition.,cdm
CONDITION_ERA,condition_era_start_date,Yes,DATE,"The start date for the Condition Era
constructed from the individual
instances of Condition Occurrences.
It is the start date of the very first
chronologically recorded instance of
the condition with at least 31 days since any prior record of the same Condition.",cdm
CONDITION_ERA,condition_era_end_date,Yes,DATE,"The end date for the Condition Era
constructed from the individual
instances of Condition Occurrences.
It is the end date of the final
continuously recorded instance of the
Condition.",cdm
CONDITION_ERA,condition_occurrence_count,No,INTEGER,"The number of individual Condition
Occurrences used to construct the
condition era.",cdm
EPISODE,episode_id,Yes,INTEGER,A unique identifier for each Episode.,cdm
EPISODE,person_id,Yes,INTEGER,The PERSON_ID of the PERSON for whom the episode is recorded.,cdm
EPISODE,episode_concept_id,Yes,INTEGER,"The EPISODE_CONCEPT_ID represents the kind abstraction related to the disease phase, outcome or treatment.",cdm
EPISODE,episode_start_date,Yes,DATE,The date when the Episode beings.,cdm
EPISODE,episode_start_datetime,No,DATETIME,The date and time when the Episode begins.,cdm
EPISODE,episode_end_date,No,DATE,The date when the instance of the Episode is considered to have ended.,cdm
EPISODE,episode_end_datetime,No,DATETIME,The date when the instance of the Episode is considered to have ended.,cdm
EPISODE,episode_parent_id,No,INTEGER,Use this field to find the Episode that subsumes the given Episode record. This is used in the case that an Episode are nested into each other.,cdm
EPISODE,episode_number,No,INTEGER,"For sequences of episodes, this is used to indicate the order the episodes occurred. For example, lines of treatment could be indicated here.",cdm
EPISODE,episode_object_concept_id,Yes,INTEGER,"A Standard Concept representing the disease phase, outcome, or other abstraction of which the episode consists.  For example, if the EPISODE_CONCEPT_ID is [treatment regimen](https://athena.ohdsi.org/search-terms/terms/32531) then the EPISODE_OBJECT_CONCEPT_ID should contain the chemotherapy regimen concept, like [Afatinib monotherapy](https://athena.ohdsi.org/search-terms/terms/35804392).",cdm
EPISODE,episode_type_concept_id,Yes,INTEGER,"This field can be used to determine the provenance of the Episode record, as in whether the episode was from an EHR system, insurance claim, registry, or other sources.",cdm
EPISODE,episode_source_value,No,VARCHAR(50),The source code for the Episode as it appears in the source data. This code is mapped to a Standard Condition Concept in the Standardized Vocabularies and the original code is stored here for reference.,cdm
EPISODE,episode_source_concept_id,No,INTEGER,A foreign key to a Episode Concept that refers to the code used in the source.,cdm
EPISODE_EVENT,episode_id,Yes,INTEGER,Use this field to link the EPISODE_EVENT record to its EPISODE.,cdm
EPISODE_EVENT,event_id,Yes,INTEGER,"This field is the primary key of the linked record in the database. For example, if the Episode Event is a Condition Occurrence, then the CONDITION_OCCURRENCE_ID of the linked record goes in this field.",cdm
EPISODE_EVENT,episode_event_field_concept_id,Yes,INTEGER,This field is the CONCEPT_ID that identifies which table the primary key of the linked record came from.,cdm
METADATA,metadata_id,Yes,INTEGER,The unique key given to a Metadata record.,cdm
METADATA,metadata_concept_id,Yes,INTEGER,,cdm
METADATA,metadata_type_concept_id,Yes,INTEGER,,cdm
METADATA,name,Yes,VARCHAR(250),,cdm
METADATA,value_as_string,No,VARCHAR(250),,cdm
METADATA,value_as_concept_id,No,INTEGER,,cdm
METADATA,value_as_number,No,FLOAT,"This is the numerical value of the result of the Metadata, if applicable and available. It is not expected that all Metadata will have numeric results, rather, this field is here to house values should they exist.",cdm
METADATA,metadata_date,No,DATE,,cdm
METADATA,metadata_datetime,No,DATETIME,,cdm
CDM_SOURCE,cdm_source_name,Yes,VARCHAR(255),The name of the CDM instance.,cdm
CDM_SOURCE,cdm_source_abbreviation,Yes,VARCHAR(25),The abbreviation of the CDM instance.,cdm
CDM_SOURCE,cdm_holder,Yes,VARCHAR(255),The holder of the CDM instance.,cdm
CDM_SOURCE,source_description,No,VARCHAR(MAX),The description of the CDM instance.,cdm
CDM_SOURCE,source_documentation_reference,No,VARCHAR(255),"Refers to a publication or web resource describing the source data, e.g. a data dictionary.",cdm
CDM_SOURCE,cdm_etl_reference,No,VARCHAR(255),Version of the ETL script used. e.g. link to the Git release,cdm
CDM_SOURCE,source_release_date,Yes,DATE,The date the data was extracted from the source system. In some systems that is the same as the date the ETL was run. Typically the latest even date in the source is on the source_release_date.,cdm
CDM_SOURCE,cdm_release_identifier,No,VARCHAR(255),The version number or version reference value for the cdm release. ,cdm
CDM_SOURCE,cdm_release_date,Yes,DATE,The date the ETL script was completed. Typically this is after the source_release_date.,cdm
CDM_SOURCE,cdm_version,No,VARCHAR(10),Version of the OMOP CDM used as string. e.g. v5.4,cdm
CDM_SOURCE,cdm_version_concept_id,Yes,INTEGER,The Concept Id representing the version of the CDM.,cdm
CDM_SOURCE,vocabulary_version,Yes,VARCHAR(20),Version of the OMOP standardised vocabularies loaded,cdm
CONCEPT,concept_id,Yes,INTEGER,A unique identifier for each Concept across all domains.,vocab
CONCEPT,concept_name,Yes,VARCHAR(255),"An unambiguous, meaningful and descriptive name for the Concept.",vocab
CONCEPT,domain_id,Yes,VARCHAR(20),A foreign key to the [DOMAIN](https://ohdsi.github.io/CommonDataModel/cdm54.html#domain) table the Concept belongs to.,vocab
CONCEPT,vocabulary_id,Yes,VARCHAR(20),"A foreign key to the [VOCABULARY](https://ohdsi.github.io/CommonDataModel/cdm54.html#vocabulary)
table indicating from which source the
Concept has been adapted.",vocab
CONCEPT,concept_class_id,Yes,VARCHAR(20),"The attribute or concept class of the
Concept. Examples are 'Clinical Drug',
'Ingredient', 'Clinical Finding' etc.",vocab
CONCEPT,standard_concept,No,VARCHAR(1),"This flag determines where a Concept is
a Standard Concept, i.e. is used in the
data, a Classification Concept, or a
non-standard Source Concept. The
allowable values are 'S' (Standard
Concept) and 'C' (Classification
Concept), otherwise the content is NULL.",vocab
CONCEPT,concept_code,Yes,VARCHAR(50),"The concept code represents the identifier
of the Concept in the source vocabulary,
such as SNOMED-CT concept IDs,
RxNorm RXCUIs etc. Note that concept
codes are not unique across vocabularies.",vocab
CONCEPT,valid_start_date,Yes,DATE,"The date when the Concept was first
recorded. The default value is
1-Jan-1970, meaning, the Concept has no
(known) date of inception.",vocab
CONCEPT,valid_end_date,Yes,DATE,"The date when the Concept became
invalid because it was deleted or
superseded (updated) by a new concept.
The default value is 31-Dec-2099,
meaning, the Concept is valid until it
becomes deprecated.",vocab
CONCEPT,invalid_reason,No,VARCHAR(1),"Reason the Concept was invalidated.
Possible values are D (deleted), U
(replaced with an update) or NULL when
valid_end_date has the default value.",vocab
VOCABULARY,vocabulary_id,No,VARCHAR(20),"A unique identifier for each Vocabulary, such
as ICD9CM, SNOMED, Visit.",vocab
VOCABULARY,vocabulary_name,Yes,VARCHAR(255),"The name describing the vocabulary, for
example, International Classification of
Diseases, Ninth Revision, Clinical
Modification, Volume 1 and 2 (NCHS) etc.",vocab
VOCABULARY,vocabulary_reference,No,VARCHAR(255),"External reference to documentation or
available download of the about the
vocabulary.",vocab
VOCABULARY,vocabulary_version,No,VARCHAR(255),"Version of the Vocabulary as indicated in
the source.",vocab
VOCABULARY,vocabulary_concept_id,Yes,INTEGER,A Concept that represents the Vocabulary the VOCABULARY record belongs to.,vocab
DOMAIN,domain_id,Yes,VARCHAR(20),A unique key for each domain.,vocab
DOMAIN,domain_name,Yes,VARCHAR(255),"The name describing the Domain, e.g.
Condition, Procedure, Measurement
etc.",vocab
DOMAIN,domain_concept_id,Yes,INTEGER,A Concept representing the Domain Concept the DOMAIN record belongs to.,vocab
CONCEPT_CLASS,concept_class_id,Yes,VARCHAR(20),A unique key for each class.,vocab
CONCEPT_CLASS,concept_class_name,Yes,VARCHAR(255),"The name describing the Concept Class, e.g.
Clinical Finding, Ingredient, etc.",vocab
CONCEPT_CLASS,concept_class_concept_id,Yes,INTEGER,A Concept that represents the Concept Class.,vocab
CONCEPT_RELATIONSHIP,concept_id_1,Yes,INTEGER,,vocab
CONCEPT_RELATIONSHIP,concept_id_2,Yes,INTEGER,,vocab
CONCEPT_RELATIONSHIP,relationship_id,Yes,VARCHAR(20),The relationship between CONCEPT_ID_1 and CONCEPT_ID_2. Please see the [Vocabulary Conventions](https://ohdsi.github.io/CommonDataModel/dataModelConventions.html#concept_relationships). for more information.,vocab
CONCEPT_RELATIONSHIP,valid_start_date,Yes,DATE,The date when the relationship is first recorded.,vocab
CONCEPT_RELATIONSHIP,valid_end_date,Yes,DATE,The date when the relationship is invalidated.,vocab
CONCEPT_RELATIONSHIP,invalid_reason,No,VARCHAR(1),"Reason the relationship was invalidated. Possible values are 'D' (deleted), 'U' (updated) or NULL.",vocab
RELATIONSHIP,relationship_id,Yes,VARCHAR(20),"The type of relationship captured by the
relationship record.",vocab
RELATIONSHIP,relationship_name,Yes,VARCHAR(255),,vocab
RELATIONSHIP,is_hierarchical,Yes,VARCHAR(1),"Defines whether a relationship defines
concepts into classes or hierarchies. Values
are 1 for hierarchical relationship or 0 if not.",vocab
RELATIONSHIP,defines_ancestry,Yes,VARCHAR(1),"Defines whether a hierarchical relationship
contributes to the concept_ancestor table.
These are subsets of the hierarchical
relationships. Valid values are 1 or 0.",vocab
RELATIONSHIP,reverse_relationship_id,Yes,VARCHAR(20),"The identifier for the relationship used to
define the reverse relationship between two
concepts.",vocab
RELATIONSHIP,relationship_concept_id,Yes,INTEGER,"A foreign key that refers to an identifier in
the [CONCEPT](https://ohdsi.github.io/CommonDataModel/cdm54.html#concept) table for the unique
relationship concept.",vocab
CONCEPT_SYNONYM,concept_id,Yes,INTEGER,,vocab
CONCEPT_SYNONYM,concept_synonym_name,Yes,VARCHAR(1000),,vocab
CONCEPT_SYNONYM,language_concept_id,Yes,INTEGER,,vocab
CONCEPT_ANCESTOR,ancestor_concept_id,Yes,INTEGER,"The Concept Id for the higher-level concept
that forms the ancestor in the relationship.",vocab
CONCEPT_ANCESTOR,descendant_concept_id,Yes,INTEGER,"The Concept Id for the lower-level concept
that forms the descendant in the
relationship.",vocab
CONCEPT_ANCESTOR,min_levels_of_separation,Yes,INTEGER,"The minimum separation in number of
levels of hierarchy between ancestor and
descendant concepts. This is an attribute
that is used to simplify hierarchic analysis.",vocab
CONCEPT_ANCESTOR,max_levels_of_separation,Yes,INTEGER,"The maximum separation in number of
levels of hierarchy between ancestor and
descendant concepts. This is an attribute
that is used to simplify hierarchic analysis.",vocab
SOURCE_TO_CONCEPT_MAP,source_code,Yes,VARCHAR(50),"The source code being translated
into a Standard Concept.",vocab
SOURCE_TO_CONCEPT_MAP,source_concept_id,Yes,INTEGER,"A foreign key to the Source
Concept that is being translated
into a Standard Concept.",vocab
SOURCE_TO_CONCEPT_MAP,source_vocabulary_id,Yes,VARCHAR(20),"A foreign key to the
VOCABULARY table defining the
vocabulary of the source code that
is being translated to a Standard
Concept.",vocab
SOURCE_TO_CONCEPT_MAP,source_code_description,No,VARCHAR(255),"An optional description for the
source code. This is included as a
convenience to compare the
description of the source code to
the name of the concept.",vocab
SOURCE_TO_CONCEPT_MAP,target_concept_id,Yes,INTEGER,"The target Concept
to which the source code is being
mapped.",vocab
SOURCE_TO_CONCEPT_MAP,target_vocabulary_id,Yes,VARCHAR(20),The Vocabulary of the target Concept.,vocab
SOURCE_TO_CONCEPT_MAP,valid_start_date,Yes,DATE,"The date when the mapping
instance was first recorded.",vocab
SOURCE_TO_CONCEPT_MAP,valid_end_date,Yes,DATE,"The date when the mapping
instance became invalid because it
was deleted or superseded
(updated) by a new relationship.
Default value is 31-Dec-2099.",vocab
SOURCE_TO_CONCEPT_MAP,invalid_reason,No,VARCHAR(1),"Reason the mapping instance was invalidated. Possible values are D (deleted), U (replaced with an update) or NULL when valid_end_date has the default value.",vocab
DRUG_STRENGTH,drug_concept_id,Yes,INTEGER,The Concept representing the Branded Drug or Clinical Drug Product.,vocab
DRUG_STRENGTH,ingredient_concept_id,Yes,INTEGER,The Concept representing the active ingredient contained within the drug product.,vocab
DRUG_STRENGTH,amount_value,No,FLOAT,The numeric value or the amount of active ingredient contained within the drug product.,vocab
DRUG_STRENGTH,amount_unit_concept_id,No,INTEGER,The Concept representing the Unit of measure for the amount of active ingredient contained within the drug product.,vocab
DRUG_STRENGTH,numerator_value,No,FLOAT,The concentration of the active ingredient contained within the drug product.,vocab
DRUG_STRENGTH,numerator_unit_concept_id,No,INTEGER,The Concept representing the Unit of measure for the concentration of active ingredient.,vocab
DRUG_STRENGTH,denominator_value,No,FLOAT,"The amount of total liquid (or other divisible product, such as ointment, gel, spray, etc.).",vocab
DRUG_STRENGTH,denominator_unit_concept_id,No,INTEGER,The Concept representing the denominator unit for the concentration of active ingredient.,vocab
DRUG_STRENGTH,box_size,No,INTEGER,The number of units of Clinical Branded Drug or Quantified Clinical or Branded Drug contained in a box as dispensed to the patient.,vocab
DRUG_STRENGTH,valid_start_date,Yes,DATE,"The date when the Concept was first
recorded. The default value is
1-Jan-1970.",vocab
DRUG_STRENGTH,valid_end_date,Yes,DATE,The date when then Concept became invalid.,vocab
